Data collection started on {11/05/2018 14:39:22.676}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.0000000000	1.1062790875	-6.6300450141	2.5253681239	1.5335317006	1.4724956130	1.1520561532	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1139543755	-0.5474326696	-0.8135500114	0.0568245975	0.0050659953	-0.9401388571	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0348821241	0.0298161288	-0.1617761501	0.0295109483	0.0119325551	-0.0964675364	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	4.6582742046	0.6262302586	0.8250125887	2.4750377661	
0.0200000000	0.5722133211	-6.3401235981	2.6016632334	-0.6942854963	0.1144426642	-0.0534065766	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1154192416	-0.5525597009	-0.8135500114	0.0563363088	-0.0061646448	-0.9495384146	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0345159075	0.0303654536	-0.1621423667	0.0290226596	0.0146791791	-0.0826123445	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.5815976196	2.9224078737	0.8250125887	2.4750377661	
0.0400000000	-0.5874723430	-6.4164187076	3.1204699779	-1.1520561532	-0.4348821241	0.4348821241	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1116350042	-0.5559777218	-0.8161135271	0.0477912566	0.0105592432	-0.9441672389	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0337834745	0.0309147784	-0.1619592584	0.0293888762	0.0130922408	-0.0829175250	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.3191424430	2.8271915770	0.8250125887	2.4750377661	
0.0600000000	0.0228885328	-6.9047074083	2.6626993210	2.0218204013	0.4043640803	0.9079118029	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1112687877	-0.5487754635	-0.8120851453	0.0488899062	0.0112916762	-0.9407492180	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0334172580	0.0297550927	-0.1629968719	0.0287785153	0.0115663386	-0.0862134737	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2056153201	2.7930113680	0.8250125887	2.4750377661	
0.0800000000	1.3351644160	-6.6605630579	2.4490730144	1.7166399634	0.6027313649	1.1520561532	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1148088808	-0.5423056382	-0.8205081254	0.0512092775	-0.0055542840	-0.9387960632	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0343938354	0.0302433814	-0.1622644388	0.0311589227	0.0132143130	-0.0848706798	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.1470206760	2.7734798199	0.8250125887	2.4750377661	
0.1000000000	0.3433279927	-6.0959792477	2.6626993210	-0.0381475547	0.7858396277	1.2893873503	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1121232929	-0.5470664530	-0.8153810941	0.0512092775	0.0037232013	-0.9400167849	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0343938354	0.0305485618	-0.1627527276	0.0303654536	0.0111390860	-0.0864576181	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.1165026322	2.7649347677	0.8250125887	2.4750377661	
0.1200000000	-0.3433279927	-6.4621957733	2.7542534524	1.2741283284	1.7166399634	1.3351644160	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1126115816	-0.5525597009	-0.8137941558	0.0509651331	0.0086060883	-0.9419699397	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0350652323	0.0301823453	-0.1606164645	0.0304875257	0.0126039521	-0.0776073854	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.1006332494	2.7612726024	0.8250125887	2.4750377661	
0.1400000000	0.3738460365	-6.4316777295	2.3575188830	0.8926527810	1.5945677882	0.7705806058	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1137102312	-0.5532921340	-0.8130617227	0.0553597314	-0.0004272526	-0.9413595789	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0338445106	0.0314030671	-0.1619592584	0.0294499123	0.0143739986	-0.0852979324	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0933089189	2.7588311589	0.8250125887	2.4750377661	
0.1600000000	-0.2059967956	-6.4621957733	2.4338139925	0.2212558175	0.3585870146	0.6027313649	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1120012207	-0.5534142061	-0.8164797436	0.0524299992	0.0059205005	-0.9419699397	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0342717632	0.0295109483	-0.1626916915	0.0295109483	0.0148622873	-0.0920729381	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0884260319	2.7576104372	0.8250125887	2.4750377661	
0.1800000000	-0.3738460365	-6.8589303426	2.1438925765	2.0218204013	0.6332494087	0.6179903868	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1077286946	-0.5514610513	-0.8157473106	0.0536507210	0.0043335622	-0.9438010224	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0343938354	0.0301213092	-0.1621423667	0.0339665827	0.0120546273	-0.0815747311	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0859845884	2.7563897154	0.8250125887	2.4750377661	
